Title,Director,Rating,Cast,Votes
Far and Away,Ron Howard,6.6,"Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky",68420
The Angry Birds Movie 2,Thurop Van Orman,6.4,"John Rice, Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader",35376
Ocean's Eleven,Lewis Milestone,6.5,"Frank Sinatra, Dean Martin, Sammy Davis Jr., Peter Lawford",25242
Die Blechtrommel,Volker Schlöndorff,7.5,"David Bennent, Mario Adorf, Angela Winkler, Katharina Thalbach",25793
No Sudden Move,Steven Soderbergh,6.4,"Don Cheadle, Benicio Del Toro, David Harbour, Jon Hamm",41161
The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,6.0,"Mike Mitchell, Tom Kenny, Antonio Banderas, Bill Fagerbakke, Clancy Brown",61275
The Wind That Shakes the Barley,Ken Loach,7.5,"Cillian Murphy, Pádraic Delaney, Liam Cunningham, Orla Fitzgerald",54717
The Spirit,Frank Miller,4.7,"Gabriel Macht, Samuel L. Jackson, Scarlett Johansson, Jaime King",62860
Night of the Demons,Kevin Tenney,6.1,"Cathy Podewell, Alvin Alexis, Hal Havins, Allison Barron",19200
Aniara,Pella Kagerman,6.3,"Hugo Lilja, Emelie Garbers, Bianca Cruzeiro, Arvin Kananian, Anneli Martini",11980
If....,Lindsay Anderson,7.4,"Malcolm McDowell, David Wood, Richard Warwick, Christine Noonan",25228
John Q,Nick Cassavetes,7.1,"Denzel Washington, Robert Duvall, Gabriela Oltean, Kimberly Elise",143860
Giant,George Stevens,7.6,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker",42310
War,Philip G. Atwell,6.2,"Jet Li, Jason Statham, Nadine Velazquez, John Lone",96958
Harley Davidson and the Marlboro Man,Simon Wincer,6.1,"Mickey Rourke, Don Johnson, Chelsea Field, Daniel Baldwin",22560
The Perfection,Richard Shepard,6.2,"Marie Maskell, Allison Williams, Christina Jastrzembska, Glynis Davies",49531
The Farewell,Lulu Wang,7.5,"Shuzhen Zhao, Awkwafina, X Mayo, Hong Lu",71293
Supergirl,Jeannot Szwarc,4.4,"Helen Slater, Faye Dunaway, Peter O'Toole, Mia Farrow",24057
Sweet Girl,Brian Andrew Mendoza,5.5,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Adria Arjona",35393
The Great Dictator,Charles Chaplin,8.4,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner",237689
Boxing Helena,Jennifer Lynch,4.7,"Julian Sands, Sherilyn Fenn, Bill Paxton, Kurtwood Smith",13132
Problem Child,Dennis Dugan,5.5,"Michael Oliver, John Ritter, Jack Warden, Gilbert Gottfried",33085
Centurion,Neil Marshall,6.3,"Michael Fassbender, Dominic West, Olga Kurylenko, Andreas Wisniewski",86438
Ali G Indahouse,Mark Mylod,6.2,"Sacha Baron Cohen, Emilio Rivera, Gina La Piana, Dana de Celis",96016
Three Kings,David O. Russell,7.1,"George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze",180631
Goosebumps,Rob Letterman,6.3,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",95484
The Company Men,John Wells,6.7,"Ben Affleck, Chris Cooper, Tommy Lee Jones, Suzanne Rico",48311
Session 9,Brad Anderson,6.4,"David Caruso, Stephen Gevedon, Paul Guilfoyle, Josh Lucas",62986
Little Man,Keenen Ivory Wayans,4.5,"Shawn Wayans, Marlon Wayans, Kerry Washington, John Witherspoon",59965
The Hitcher,Robert Harmon,7.2,"Rutger Hauer, C. Thomas Howell, Jennifer Jason Leigh, Jeffrey DeMunn",52673
The Constant Gardener,Fernando Meirelles,7.3,"Ralph Fiennes, Rachel Weisz, Danny Huston, Hubert Koundé",148595
Monsters,Gareth Edwards,6.3,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides, Annalee Jefferies",97716
Hammerharte Jungs,Granz Henman,4.8,"Tobias Schäfer, Cosima Henman, Monika Oschek, Tom Beck",2656
In the Heat of the Night,Norman Jewison,7.9,"Sidney Poitier, Rod Steiger, Warren Oates, Lee Grant",83691
Yes Day,Miguel Arteta,5.7,"Jennifer Garner, Edgar Ramírez, Jenna Ortega, Julian Lerner",30128
Bill & Ted Face the Music,Dean Parisot,5.9,"Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving",53121
A Dog's Way Home,Charles Martin Smith,6.7,"Ashley Judd, Jonah Hauer-King, Edward James Olmos, Alexandra Shipp",20150
Deathstalker,James Sbardellati,4.6,"Rick Hill, Barbi Benton, Richard Brooker, Lana Clarkson",6354
The Words,Brian Klugman,7.0,"Lee Sternthal, Bradley Cooper, Dennis Quaid, Olivia Wilde, Zoe Saldana",81511
The Devil Conspiracy,Nathan Frankowski,4.6,"Alice Orr-Ewing, Joe Doyle, Eveline Hall, Peter Mensah",3428
Without a Paddle,Steven Brill,5.8,"Matthew Lillard, Seth Green, Dax Shepard, Matthew Price",50977
1922,Zak Hilditch,6.2,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard",71801
20segi sonyeo,Bang Woo-ri,7.3,"Kim Yoo-jung, Byeon Woo-seok, Han Hyo-joo, Harrison Xu",9372
Imperium,Daniel Ragussis,6.5,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell",50034
Pi,Darren Aronofsky,7.3,"Sean Gullette, Mark Margolis, Ben Shenkman, Pamela Hart",186611
Poker Face,Russell Crowe,5.2,"Russell Crowe, Liam Hemsworth, RZA, Aden Young",13159
The Longest Yard,Robert Aldrich,7.1,"Burt Reynolds, Eddie Albert, Ed Lauter, Michael Conrad",21448
The Cheat,Cecil B. DeMille,6.5,"Fannie Ward, Sessue Hayakawa, Jack Dean, James Neill",2795
Antz,Eric Darnell,6.5,"Tim Johnson, Lawrence Guterman, Woody Allen, Sharon Stone, Gene Hackman, Sylvester Stallone",164222
Maste eshgh,Hasan Fathi,8.2,"Parsa Pirouzfar, Shahab Hosseini, Hande Erçel, Burak Tozkoparan",2692
Land of the Lost,Brad Silberling,5.3,"Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone",75371
Sick,John Hyams,6.0,"Gideon Adlon, Bethlehem Million, Dylan Sprayberry, Marc Menchaca",20219
47 Meters Down: Uncaged,Johannes Roberts,5.0,"Sophie Nélisse, Corinne Foxx, Brianne Tju, Sistine Rose Stallone",30836
Hondo,John Farrow,7.0,"John Wayne, Geraldine Page, Ward Bond, Michael Pate",12436
American Mary,Jen Soska,6.2,"Sylvia Soska, Katharine Isabelle, Antonio Cupo, Tristan Risk, David Lovgren",28371
The Man Who Knew Infinity,Matt Brown,7.2,"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi",62270
Assault on Precinct 13,John Carpenter,7.3,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West",55756
"Roman J. Israel, Esq.",Dan Gilroy,6.5,"Denzel Washington, Colin Farrell, Carmen Ejogo, Lynda Gravatt",43271
The Year of Living Dangerously,Peter Weir,7.1,"Mel Gibson, Sigourney Weaver, Linda Hunt, Bembol Roco",22935
Polite Society,Nida Manzoor,6.6,"Priya Kansara, Ritu Arya, Renu Brindle, Rekha John-Cheriyan",10340
White Girl,Elizabeth Wood,5.7,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",11756
My Left Foot: The Story of Christy Brown,Jim Sheridan,7.8,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan",79885
Sabrina,Sydney Pollack,6.3,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand",44505
Quarantine,John Erick Dowdle,6.0,"Jennifer Carpenter, Steve Harris, Columbus Short, Jay Hernandez",77515
The Fog,Rupert Wainwright,3.7,"Tom Welling, Maggie Grace, Selma Blair, DeRay Davis",39231
Detroit,Kathryn Bigelow,7.3,"John Boyega, Anthony Mackie, Algee Smith, Jacob Latimore",56020
The Good Shepherd,Robert De Niro,6.7,"Matt Damon, Angelina Jolie, Robert De Niro, Alec Baldwin",108656
Chain Reaction,Andrew Davis,5.6,"Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward",56334
Mangiati vivi!,Umberto Lenzi,5.1,"Robert Kerman, Janet Agren, Ivan Rassimov, Mel Ferrer",4612
Time Is Up,Elisa Amoruso,4.2,"Bella Thorne, Benjamin Mascolo, Sebastiano Pigazzi, Bonnie Baddoo",3670
The Tender Bar,George Clooney,6.7,"Ben Affleck, Tye Sheridan, Daniel Ranieri, Lily Rabe",33936
The Kid Who Would Be King,Joe Cornish,6.1,"Louis Ashbourne Serkis, Denise Gough, Dean Chaumoo, Tom Taylor",18758
Metal Lords,Peter Sollett,6.7,"Jaeden Martell, Adrian Greensmith, Isis Hainsworth, Noah Urrea",32987
Whitney Houston: I Wanna Dance with Somebody,Kasi Lemmons,6.6,"Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie",22911
Chugyeokja,Na Hong-jin,7.8,"Kim Yoon-seok, Ha Jung-woo, Seo Yeong-hie, Kim Yoo-jung",72923
#Saraitda,Il Cho,6.3,"Jo Il Hyung, Madeleine Martin, Jimmy Olsson, Yoo Ah-in, Park Shin-hye, Jeon Bae-soo, Lee Hyun-wook",47916
V/H/S/85,David Bruckner,5.6,"Scott Derrickson, Natasha Kermani, Mike P. Nelson, Gigi Saul Guerrero, Kelli Garner, Freddy Rodríguez, James Ransone, Jordan Belfi",6866
Vampires,John Carpenter,6.1,"James Woods, Daniel Baldwin, Sheryl Lee, Thomas Ian Griffith",63858
It's a Boy Girl Thing,Nick Hurran,6.2,"Samaire Armstrong, Kevin Zegers, Sherry Miller, Robert Joy",42853
The Limey,Steven Soderbergh,6.9,"Terence Stamp, Peter Fonda, Lesley Ann Warren, Luis Guzmán",34916
With Honors,Alek Keshishian,6.7,"Joe Pesci, Brendan Fraser, Moira Kelly, Patrick Dempsey",15940
21 Bridges,Brian Kirk,6.6,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James",74641
The Sleepover,Trish Sie,5.7,"Sadie Stanley, Maxwell Simkins, Cree, Lucas Jaye",12070
Le otto montagne,Felix van Groeningen,7.7,"Charlotte Vandermeersch, Lupo Barbiero, Cristiano Sassella, Elena Lietti, Chiara Jorrioz",14906
Found,Scott Schirmer,5.8,"Gavin Brown, Ethan Philbeck, Phyllis Munro, Louie Lawless",5192
Cutthroat Island,Renny Harlin,5.7,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",30609
Derailed,Mikael Håfström,6.6,"Clive Owen, Jennifer Aniston, Vincent Cassel, Addison Timlin",76453
The Runaways,Floria Sigismondi,6.5,"Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve",50993
Jatt Nuu Chudail Takri,Vikas Vashisht,6.2,"Gippy Grewal, Sargun Mehta, Roopi Gill, Nirmal Rishi",3589
Resistance,Jonathan Jakubowicz,6.5,"Jesse Eisenberg, Clémence Poésy, Matthias Schweighöfer, Félix Moati",8984
The World to Come,Mona Fastvold,6.4,"Katherine Waterston, Vanessa Kirby, Casey Affleck, Christopher Abbott",11077
37°2 le matin,Jean-Jacques Beineix,7.3,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon, Consuelo De Haviland",23382
The Indian in the Cupboard,Frank Oz,6.0,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",31087
Woman in Gold,Simon Curtis,7.3,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",63290
Dracula,Tod Browning,7.4,"Karl Freund, Bela Lugosi, Helen Chandler, David Manners, Dwight Frye",58745
Hard Target,John Woo,6.2,"Jean-Claude Van Damme, Lance Henriksen, Yancy Butler, Chuck Pfarrer",56390
Pumpkinhead,Stan Winston,6.2,"Lance Henriksen, Jeff East, John D'Aquino, Kimberly Ross",27914
Larry Crowne,Tom Hanks,6.1,"Tom Hanks, Julia Roberts, Sarah Mahoney, Roxana Ortega",70897
Shag,Zelda Barron,6.4,"Phoebe Cates, Bridget Fonda, Scott Coffey, Annabeth Gish",4908
The War of the Worlds,Byron Haskin,7.0,"Gene Barry, Ann Robinson, Les Tremayne, Robert Cornthwaite",38613
Serbuan maut 2: Berandal,Gareth Evans,7.9,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",131455
White Men Can't Jump,Calmatic,5.1,"Sinqua Walls, Jack Harlow, Lance Reddick, Teyana Taylor",10328
Shutter,Banjong Pisanthanakun,7.0,"Parkpoom Wongpoom, Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool",49282
What About Bob?,Frank Oz,7.0,"Bill Murray, Richard Dreyfuss, Julie Hagerty, Charlie Korsmo",74560
Convoy,Sam Peckinpah,6.3,"Kris Kristofferson, Ali MacGraw, Ernest Borgnine, Burt Young",18647
Just My Luck,Donald Petrie,5.4,"Lindsay Lohan, Chris Pine, Samaire Armstrong, Bree Turner",61678
Get Hard,Etan Cohen,6.0,"Will Ferrell, Kevin Hart, Alison Brie, Tip 'T.I.' Harris",147183
Up in Smoke,Lou Adler,6.9,"Tommy Chong, Cheech Marin, Tommy Chong, Strother Martin, Edie Adams",40970
Konferensen,Patrik Eklund,5.7,"Katia Winter, Adam Lundgren, Eva Melander, Bahar Pars",11752
Star Trek: Generations,David Carson,6.6,"Patrick Stewart, William Shatner, Malcolm McDowell, Jonathan Frakes",87134
My Octopus Teacher,Pippa Ehrlich,8.1,"James Reed, Craig Foster, Tom Foster",64043
A Perfect Getaway,David Twohy,6.5,"Milla Jovovich, Steve Zahn, Timothy Olyphant, Kiele Sanchez",76450
Critters,Stephen Herek,6.1,"Dee Wallace, M. Emmet Walsh, Billy Green Bush, Scott Grimes",39396
The Party,Blake Edwards,7.4,"Peter Sellers, Claudine Longet, Natalia Borisova, Jean Carson",43798
Johnny English Reborn,Oliver Parker,6.3,"Rowan Atkinson, Rosamund Pike, Dominic West, Roger Barclay",141050
Hubie Halloween,Steven Brill,5.2,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta",58800
Holy Spider,Ali Abbasi,7.3,"Alice Rahimi, Diana Al Hussen, Soraya Helli, Mehdi Bajestani",25614
Vampires Suck,Jason Friedberg,3.4,"Aaron Seltzer, Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi",51587
Smoke,Wayne Wang,7.4,"Harvey Keitel, William Hurt, Giancarlo Esposito, José Zúñiga",38219
Wildflower,Matt Smukler,6.8,"Alexandra Daddario, Kiernan Shipka, Jean Smart, Reid Scott",3952
Kill Bill: The Whole Bloody Affair,Quentin Tarantino,8.7,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen",16640
Stuber,Michael Dowse,6.2,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales",51482
The Rescuers,John Lounsbery,6.9,"Wolfgang Reitherman, Art Stevens, Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn",70025
The Underdoggs,Charles Stone III,5.6,"Snoop Dogg, Tika Sumpter, Mike Epps, Elias Ferguson",3864
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Chantal Akerman,7.5,"Delphine Seyrig, Jan Decorte, Henri Storck, Jacques Doniol-Valcroze",13993
Curious George,Matthew O'Callaghan,6.5,"Will Ferrell, Drew Barrymore, Eugene Levy, Frank Welker",18158
Sisters,Jason Moore,6.0,"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",69439
Clifford the Big Red Dog,Walt Becker,5.9,"Darby Camp, Jack Whitehall, Izaac Wang, John Cleese",17147
Stone Cold,Craig R. Baxley,6.1,"Brian Bosworth, Lance Henriksen, William Forsythe, Arabella Holzbog",10062
Wish Upon,John R. Leonetti,5.1,"Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert",22929
Flags of Our Fathers,Clint Eastwood,7.1,"Ryan Phillippe, Barry Pepper, Joseph Cross, Jesse Bradford",129382
Used Cars,Robert Zemeckis,6.7,"Kurt Russell, Jack Warden, Gerrit Graham, Frank McRae",16804
Ladri di biciclette,Vittorio De Sica,8.3,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",175463
Trick 'r Treat,Michael Dougherty,6.7,"Anna Paquin, Brian Cox, Dylan Baker, Rochelle Aytes",104709
Kairo,Kiyoshi Kurosawa,6.5,"Haruhiko Katô, Kumiko Asô, Koyuki, Kurume Arisaka",25692
80 for Brady,Kyle Marvin,5.9,"Lily Tomlin, Jane Fonda, Rita Moreno, Sally Field",11603
What a Girl Wants,Dennie Gordon,5.8,"Amanda Bynes, Colin Firth, Kelly Preston, Soleil McGhee",66586
The Duchess,Saul Dibb,6.9,"Keira Knightley, Ralph Fiennes, Dominic Cooper, Charlotte Rampling",87375
When a Stranger Calls,Simon West,5.1,"Camilla Belle, Tommy Flanagan, Katie Cassidy, Tessa Thompson",48710
The Ice Road,Jonathan Hensleigh,5.6,"Liam Neeson, Marcus Thomas, Laurence Fishburne, Amber Midthunder",47790
Backcountry,Adam MacDonald,6.0,"Jeff Roop, Missy Peregrym, Nicholas Campbell, Eric Balfour",24255
The Verdict,Sidney Lumet,7.7,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason",46073
Galaxy of Terror,Bruce D. Clark,5.0,"Edward Albert, Erin Moran, Ray Walston, Bernard Behrens",8951
Mouse Hunt,Gore Verbinski,6.5,"Nathan Lane, Lee Evans, Vicki Lewis, Maury Chaykin",60572
Bicentennial Man,Chris Columbus,6.9,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt",124841
Three O'Clock High,Phil Joanou,7.1,"Casey Siemaszko, Annie Ryan, Richard Tyson, Stacey Glick",13205
Gothika,Mathieu Kassovitz,5.8,"Halle Berry, Penélope Cruz, Robert Downey Jr., Charles S. Dutton",119301
The Other,Robert Mulligan,6.8,"Uta Hagen, Diana Muldaur, Chris Udvarnoky, Martin Udvarnoky",7006
Tótem,Lila Avilés,7.1,"Naíma Sentíes, Montserrat Marañon, Marisol Gasé, Saori Gurza",2552
Blue Bayou,Justin Chon,7.1,"Justin Chon, Alicia Vikander, Mark O'Brien, Linh-Dan Pham",10513
Busanhaeng 2: Bando,Yeon Sang-ho,5.5,"Nazeeh Tarsha, Koo Kyo-hwan, Lee Jung-hyun, Gang Dong-won",37952
Le grand bleu,Luc Besson,7.5,"Jean-Marc Barr, Jean Reno, Rosanna Arquette, Paul Shenar",55170
Vivo,Kirk DeMicco,6.7,"Brandon Jeffords, Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos González",21655
Killer Elite,Gary McKendry,6.4,"Jason Statham, Clive Owen, Robert De Niro, Dominic Purcell",135563
Sugar & Spice,Francine McDougall,5.7,"Marla Sokoloff, Marley Shelton, Melissa George, Mena Suvari",15353
Slumberland,Francis Lawrence,6.7,"Jason Momoa, Marlow Barkley, Chris O'Dowd, Kyle Chandler",33125
Aftermath,Peter Winther,5.3,"Ashley Greene, Shawn Ashmore, Jason Liles, Britt Baron",18904
MacGruber,Jorma Taccone,5.6,"Will Forte, Kristen Wiig, Val Kilmer, Ryan Phillippe",47415
Eagle Eye,D.J. Caruso,6.6,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson, Michael Chiklis",195360
Holidate,John Whitesell,6.1,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher",79106
In from the Side,Matt Carter,6.7,"Alexander Lincoln, Alexander King, William Hearle, Alex Hammond",7271
Mr. Popper's Penguins,Mark Waters,6.0,"Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond",105784
Il mio nome è Nessuno,Tonino Valerii,7.3,"Terence Hill, Henry Fonda, Jean Martin, R.G. Armstrong",29629
The Cellar,Brendan Muldowney,5.3,"Elisha Cuthbert, Eoin Macken, Abby Fitz, Dylan Fitzmaurice Brady",7764
The Long Good Friday,John Mackenzie,7.6,"Bob Hoskins, Helen Mirren, Paul Freeman, Leo Dolan",25694
Exposed,Gee Malik Linton,4.3,"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino",16835
Tasogare Seibei,Yôji Yamada,8.1,"Hiroyuki Sanada, Rie Miyazawa, Nenji Kobayashi, Ren Ôsugi",25571
Trance,Danny Boyle,6.9,"James McAvoy, Rosario Dawson, Vincent Cassel, Danny Sapani",117821
Hannah Montana: The Movie,Peter Chelsom,4.7,"Miley Cyrus, Emily Osment, Billy Ray Cyrus, Jason Earles",45787
Blood and Bone,Ben Ramsey,6.7,"Michael Jai White, Julian Sands, Eamonn Walker, Dante Basco",35890
Broken Arrow,John Woo,6.1,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",105373
Madres paralelas,Pedro Almodóvar,7.1,"Penélope Cruz, Milena Smit, Israel Elejalde, Aitana Sánchez-Gijón",36125
RocketMan,Stuart Gillard,5.9,"Harland Williams, Jessica Lundy, William Sadler, Jeffrey DeMunn",10443
Night Moves,Arthur Penn,7.1,"Gene Hackman, Jennifer Warren, Edward Binns, Harris Yulin",17767
Soul Surfer,Sean McNamara,7.0,"AnnaSophia Robb, Dennis Quaid, Helen Hunt, Carrie Underwood",52970
Heaven's Gate,Michael Cimino,6.7,"Kris Kristofferson, Christopher Walken, John Hurt, Sam Waterston",17194
Barb and Star Go to Vista Del Mar,Josh Greenbaum,6.3,"Kristen Wiig, Annie Mumolo, Jamie Dornan, Damon Wayans Jr.",20076
Dragon: The Bruce Lee Story,Rob Cohen,7.0,"Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned",32910
Last Flag Flying,Richard Linklater,6.9,"Bryan Cranston, Laurence Fishburne, Steve Carell, J. Quinton Johnson",28644
Martha Marcy May Marlene,Sean Durkin,6.8,"Elizabeth Olsen, Sarah Paulson, John Hawkes, Christopher Abbott",55870
France,Bruno Dumont,5.9,"Léa Seydoux, Blanche Gardin, Benjamin Biolay, Emanuele Arioli",4661
Mr. Bean's Holiday,Steve Bendelack,6.4,"Rowan Atkinson, Willem Dafoe, Steve Pemberton, Lily Atkinson",134286
Mr. Peabody & Sherman,Rob Minkoff,6.8,"Ty Burrell, Max Charles, Stephen Colbert, Leslie Mann",77984
How High,Jesse Dylan,6.2,"Method Man, Redman, Obba Babatundé, Mike Epps",61886
The Bling Ring,Sofia Coppola,5.6,"Katie Chang, Israel Broussard, Emma Watson, Claire Julien",92314
MILF,Axelle Laffont,4.8,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Waël Sersoub",7342
The Big Sleep,Howard Hawks,7.9,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers",90615
Hopscotch,Ronald Neame,7.1,"Walter Matthau, Glenda Jackson, Sam Waterston, Ned Beatty",8980
Running Scared,Peter Hyams,6.5,"Gregory Hines, Billy Crystal, Steven Bauer, Darlanne Fluegel",15063
Love & Mercy,Bill Pohlad,7.4,"John Cusack, Paul Dano, Elizabeth Banks, Paul Giamatti",42660
Mary Magdalene,Garth Davis,5.9,"Rooney Mara, Joaquin Phoenix, Chiwetel Ejiofor, Tahar Rahim",11585
"Angus, Thongs and Perfect Snogging",Gurinder Chadha,6.3,"Georgia Groome, Aaron Taylor-Johnson, Karen Taylor, Alan Davies",30147
Vampire's Kiss,Robert Bierman,6.1,"Nicolas Cage, Maria Conchita Alonso, Jennifer Beals, Elizabeth Ashley",21039
Murderers' Row,Henry Levin,5.8,"Dean Martin, Ann-Margret, Karl Malden, Camilla Sparv",2474
Home Alone 3,Raja Gosnell,4.6,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen",127371
Whiskey Tango Foxtrot,Glenn Ficarra,6.6,"John Requa, Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",56732
Flubber,Les Mayfield,5.3,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine",94765
Running Scared,Wayne Kramer,7.3,"Paul Walker, Cameron Bright, Chazz Palminteri, Vera Farmiga",103785
Stay,Marc Forster,6.7,"Ewan McGregor, Naomi Watts, Ryan Gosling, Kate Burton",86187
The Outsider,Martin Zandvliet,6.2,"Jared Leto, Tadanobu Asano, Kippei Shîna, Shioli Kutsuna",29483
Gil Bok-soon,Byun Sung-hyun,6.6,"Lee Jae-wook, Jeon Do-yeon, Hwang Jung-min, Koo Kyo-hwan",12516
Lilja 4-ever,Lukas Moodysson,7.8,"Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov, Lyubov Agapova",49484
Spirited,Sean Anders,6.6,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page",50364
McLintock!,Andrew V. McLaglen,7.1,"John Wayne, Maureen O'Hara, Patrick Wayne, Stefanie Powers",16641
The Getaway,Roger Donaldson,5.8,"Alec Baldwin, Kim Basinger, Michael Madsen, James Woods",19690
The Call,Brad Anderson,6.7,"Halle Berry, Evie Thompson, Abigail Breslin, Morris Chestnut",129882
The Texas Chainsaw Massacre 2,Tobe Hooper,5.6,"Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley",38097
Rogue Agent,Declan Lawn,6.4,"Adam Patterson, James Norton, Matthew Douglas, Rob Malone, Marisa Abela",12263
You Again,Andy Fickman,5.7,"Kristen Bell, Odette Annable, Sigourney Weaver, Jamie Lee Curtis",54523
