Title,Director,Actual Rating,Predicted Rating
A Nightmare on Elm Street 4: The Dream Master,Renny Harlin,5.6,6.656358040952006
Arrival,Denis Villeneuve,7.9,6.740058326605257
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,4.4,6.6750379330291265
Real Steel,Shawn Levy,7.1,6.640192749731421
Flipped,Rob Reiner,7.7,6.651688067932726
The Tragedy of Macbeth,Joel Coen,7.1,6.70916465893925
In Harm's Way,Otto Preminger,7.3,6.66749413045952
The Americanization of Emily,Arthur Hiller,7.3,6.765563563864402
Assassin's Creed,Justin Kurzel,5.6,6.694077053800037
DragonHeart,Rob Cohen,6.4,6.652765754014099
While We're Young,Noah Baumbach,6.3,6.669649502622265
Premium Rush,David Koepp,6.5,6.744728299624537
McLintock!,Andrew V. McLaglen,7.1,6.768437393414728
Ferdinand,Carlos Saldanha,6.7,6.753709016969307
Planet of the Apes,Tim Burton,5.7,6.628697431530116
Blue Streak,Les Mayfield,6.3,6.687970166005594
Asteroid City,Wes Anderson,6.5,6.62115362896051
Do lok tin si,Kar-Wai Wong,7.6,6.693358596412456
The Comfort of Strangers,Paul Schrader,6.3,6.666057215684357
Gerald's Game,Mike Flanagan,6.5,6.675397161722917
Frankie and Johnny,Garry Marshall,6.7,6.731796066648069
Lucy,Luc Besson,6.4,6.686892479924222
The Thomas Crown Affair,John McTiernan,6.8,6.701980085063434
The Getaway,Sam Peckinpah,7.3,6.643066579281747
Chain Reaction,Andrew Davis,5.6,6.76915585080231
Giù la testa,Sergio Leone,7.6,6.640551978425212
Philomena,Stephen Frears,7.6,6.636241234099723
"20,000 Leagues Under the Sea",Richard Fleischer,7.2,6.654202668789262
The Three Stooges,Bobby Farrelly,5.1,6.758378989988587
The Legend of Zorro,Martin Campbell,5.9,6.6829409642925235
Mulan,Niki Caro,5.8,6.670008731316056
Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,6.9,6.753709016969307
Sitting in Bars with Cake,Trish Sie,6.4,6.624386687204627
Quigley Down Under,Simon Wincer,6.9,6.638396606262467
The Incredibles,Brad Bird,8.0,6.757301303907214
Pat Garrett and Billy the Kid,Sam Peckinpah,7.2,6.643066579281747
How the Grinch Stole Christmas,Ron Howard,6.3,6.644862722750702
Crossroads,Walter Hill,7.1,6.622231315041883
Uncharted,Ruben Fleischer,6.3,6.64450349405691
Boxcar Bertha,Martin Scorsese,6.0,6.682581735598733
The Kentucky Fried Movie,John Landis,6.4,6.7034169998385975
The Mechanic,Simon West,6.5,6.6387558349562585
Army of Darkness,Sam Raimi,7.4,6.642707350587957
Troy,Wolfgang Petersen,7.3,6.618639028103975
